,function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsinposition,yearsinprofession,age,cred1,cred2,highestdegree,inst1,inst2,inst3,inst4,inst5,instbudget,city,state,zip,country,category,instsize,insttype,b19013_001,median,mean,pop,no_male_hs_p,no_female_hs_p,at_least_hs_male_p,at_least_hs_female_p,at_least_bach_male_p,at_least_bach_female_p,male_unemployment,female_unemployment,snap,renter,median_rent,foreign_born,value_for_owner-occupied_housing_units:__total:_,"value_for_owner-occupied_housing_units:__less_than_$10,000_","value_for_owner-occupied_housing_units:__$10,000_to_$14,999_","value_for_owner-occupied_housing_units:__$15,000_to_$19,999_","value_for_owner-occupied_housing_units:__$20,000_to_$24,999_","value_for_owner-occupied_housing_units:__$25,000_to_$29,999_","value_for_owner-occupied_housing_units:__$30,000_to_$34,999_","value_for_owner-occupied_housing_units:__$35,000_to_$39,999_","value_for_owner-occupied_housing_units:__$40,000_to_$49,999_","value_for_owner-occupied_housing_units:__$50,000_to_$59,999_","value_for_owner-occupied_housing_units:__$60,000_to_$69,999_","value_for_owner-occupied_housing_units:__$70,000_to_$79,999_","value_for_owner-occupied_housing_units:__$80,000_to_$89,999_","value_for_owner-occupied_housing_units:__$90,000_to_$99,999_","value_for_owner-occupied_housing_units:__$100,000_to_$124,999_","value_for_owner-occupied_housing_units:__$125,000_to_$149,999_","value_for_owner-occupied_housing_units:__$150,000_to_$174,999_","value_for_owner-occupied_housing_units:__$175,000_to_$199,999_","value_for_owner-occupied_housing_units:__$200,000_to_$249,999_","value_for_owner-occupied_housing_units:__$250,000_to_$299,999_","value_for_owner-occupied_housing_units:__$300,000_to_$399,999_","value_for_owner-occupied_housing_units:__$400,000_to_$499,999_","value_for_owner-occupied_housing_units:__$500,000_to_$749,999_","value_for_owner-occupied_housing_units:__$750,000_to_$999,999_","value_for_owner-occupied_housing_units:__$1,000,000_or_more_",sex_by_age:__male:_,sex_by_age:__male:_under_5_years_,sex_by_age:__male:_5_to_9_years_,sex_by_age:__male:_10_to_14_years_,sex_by_age:__male:_15_to_17_years_,sex_by_age:__male:_18_and_19_years_,sex_by_age:__male:_20_years_,sex_by_age:__male:_21_years_,sex_by_age:__male:_22_to_24_years_,sex_by_age:__male:_25_to_29_years_,sex_by_age:__male:_30_to_34_years_,sex_by_age:__male:_35_to_39_years_,sex_by_age:__male:_40_to_44_years_,sex_by_age:__male:_45_to_49_years_,sex_by_age:__male:_50_to_54_years_,sex_by_age:__male:_55_to_59_years_,sex_by_age:__male:_60_and_61_years_,sex_by_age:__male:_62_to_64_years_,sex_by_age:__male:_65_and_66_years_,sex_by_age:__male:_67_to_69_years_,sex_by_age:__male:_70_to_74_years_,sex_by_age:__male:_75_to_79_years_,sex_by_age:__male:_80_to_84_years_,sex_by_age:__male:_85_years_and_over_,sex_by_age:__female:_,sex_by_age:__female:_under_5_years_,sex_by_age:__female:_5_to_9_years_,sex_by_age:__female:_10_to_14_years_,sex_by_age:__female:_15_to_17_years_,sex_by_age:__female:_18_and_19_years_,sex_by_age:__female:_20_years_,sex_by_age:__female:_21_years_,sex_by_age:__female:_22_to_24_years_,sex_by_age:__female:_25_to_29_years_,sex_by_age:__female:_30_to_34_years_,sex_by_age:__female:_35_to_39_years_,sex_by_age:__female:_40_to_44_years_,sex_by_age:__female:_45_to_49_years_,sex_by_age:__female:_50_to_54_years_,sex_by_age:__female:_55_to_59_years_,sex_by_age:__female:_60_and_61_years_,sex_by_age:__female:_62_to_64_years_,sex_by_age:__female:_65_and_66_years_,sex_by_age:__female:_67_to_69_years_,sex_by_age:__female:_70_to_74_years_,sex_by_age:__female:_75_to_79_years_,sex_by_age:__female:_80_to_84_years_,sex_by_age:__female:_85_years_and_over_,commute_over_60,full_time,part_time,high_rent_burden,extreme_rent_burden
569,position6,0,0,2,40,5,42208,Woman,FALSE,Biracial,4,8,31,FALSE,FALSE,Master's Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,position25,0,1,0,0,0,34134,Man,FALSE,Hispanic,9,,55,FALSE,FALSE,No College Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,position9,0,0,2,30,0,46000,Man,FALSE,Caucasian,1,9,32,FALSE,FALSE,Master's Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,position15,0,3,2,130,0,44000,Man,FALSE,African American,2,4,28,FALSE,FALSE,Master's Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,position17,0,0,0,0,0,36237,Woman,FALSE,Hispanic,2,4,34,FALSE,FALSE,Master's Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,position15,0,0,0,0,0,30091,Woman,FALSE,Hispanic,9,,56,FALSE,FALSE,No College Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,position3,2,3,0,200,0,52510,Man,FALSE,Hispanic,14,14,52,FALSE,FALSE,Bachelor's Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,position15,0,0,0,0,0,29259,Man,FALSE,Hispanic,9,,52,FALSE,FALSE,No College Degree,6,3,7,200,5,2124084,Miami,FL,33199,United States,one,46171,Public Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,position7,0,0,0,1,3,53237,Woman,FALSE,Hispanic,9,9,33,FALSE,FALSE,Doctoral,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
557,position22,0,0,0,2,0,42392,Woman,FALSE,African American,7,7,44,FALSE,FALSE,Associate's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
561,position12,0,0,0,15,50,47000,Woman,FALSE,Caucasian,0,3,25,FALSE,FALSE,Master's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
560,position14,0,0,0,0,0,65110,Man,FALSE,Hispanic,6,6,36,FALSE,FALSE,Master's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
566,position6,2,0,0,86,50,78680,Man,FALSE,Caucasian,16,16,40,FALSE,FALSE,Doctoral,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
567,position1,11,8,0,320,60,150000,Man,FALSE,Caucasian,1,29,59,TRUE,FALSE,Master's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
568,position9,0,1,0,127,15,61200,Man,FALSE,Hispanic,8,20,38,FALSE,TRUE,Master's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
565,position11,1,0,0,7,2,59443,Woman,FALSE,Caucasian,3,3,54,FALSE,FALSE,Master's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
563,position10,3,0,0,29,0,78838,Woman,FALSE,Caucasian,20,20,58,FALSE,FALSE,Bachelor's Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
558,position11,0,0,0,12,0,37791,Woman,FALSE,Hispanic,7,7,44,FALSE,FALSE,No College Degree,12,8,0,320,60,4642143,Coral Gables,FL,33146,United States,one,16172,Private Institution,105545,75696,95773,10444,3.371900826,6.105324074,96.62809917,93.89467593,76.09917355,62.87615741,3.542930099,3.139960574,0.975329891,19.01893287,1752,24.01738352,2823,0,0,0,0,0,11,0,0,9,0,19,0,0,3,55,36,21,80,36,167,112,916,554,804,7657,492,225,596,246,1731,572,450,320,230,123,171,567,408,237,251,90,232,75,155,158,100,120,108,7990,175,389,263,210,1875,592,436,594,186,197,312,523,489,199,346,133,150,29,174,154,136,198,230,3.15732172,49.60390006,50.39609994,46.15384615,33.18250377
